interaction_id,run_interaction_id,mode,ok,http_status,error,idempotency_key,shadow_id,response_file
cll_06DEYZT33XZSBC9DNBH9W72PVC,cll_SHADOW_GTBATCH_20260215T224606Z_001,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_001,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DEYZT33XZSBC9DNBH9W72PVC.json
cll_06DEYZXH7DRVV6DTZ04VW9HAF0,cll_SHADOW_GTBATCH_20260215T224606Z_002,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_002,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DEYZXH7DRVV6DTZ04VW9HAF0.json
cll_06DFAKDJ01XEXE3NECHK81W7XW,cll_SHADOW_GTBATCH_20260215T224606Z_003,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_003,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DFAKDJ01XEXE3NECHK81W7XW.json
cll_06DFW8NJG5SG90SSW03TTSEWZM,cll_SHADOW_GTBATCH_20260215T224606Z_004,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_004,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DFW8NJG5SG90SSW03TTSEWZM.json
cll_06DFW9XWPDSS3972ZW09RJCT5R,cll_SHADOW_GTBATCH_20260215T224606Z_005,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_005,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DFW9XWPDSS3972ZW09RJCT5R.json
cll_06DFWH1J61ZZ348K62J58EZ0WC,cll_SHADOW_GTBATCH_20260215T224606Z_006,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_006,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DFWH1J61ZZ348K62J58EZ0WC.json
cll_06DFWWGDC1SS738KG486YKHM1W,cll_SHADOW_GTBATCH_20260215T224606Z_007,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_007,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DFWWGDC1SS738KG486YKHM1W.json
cll_06DFWX6DQNYKF4QE46STT6BHZW,cll_SHADOW_GTBATCH_20260215T224606Z_008,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_008,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DFWX6DQNYKF4QE46STT6BHZW.json
cll_06DFWYKYQSW9XASM4M16CAJC80,cll_SHADOW_GTBATCH_20260215T224606Z_009,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_009,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DFWYKYQSW9XASM4M16CAJC80.json
cll_06DFWYV90DSTZ6351E3CEPHQ70,cll_SHADOW_GTBATCH_20260215T224606Z_010,shadow,true,200,,,cll_SHADOW_GTBATCH_20260215T224606Z_010,/Users/chadbarlow/Desktop/gt_batch_runs/20260215T224606Z/trigger_responses/cll_06DFWYV90DSTZ6351E3CEPHQ70.json
